EQUIP_ID,EQUIP_DESCN,EQUIP_PARENT
0000,Ballance Distribution,
100,#1 Hopper,1017-160-999
101,Drag Chain Conveyor #1 - Despatch,1017-160-999
102,Lump Breaker,1017-160-999
103,Electrical Dispatch (MCC),1017-160-999
104,Elec System -  Main Office,1017-160-999
105,HVAC - Main Office,1017-160-999
106,Site - Transformer,1017-160-999
107,Truck Wash,1017-160-999
108,Grassed Area,1017-160-999
109,M17M100 Mis Boundry - Fencing,1017-160-999
110,Roading,1017-160-999
111,#1 - Hopper Weighing Equipment,1017-160-999
112,Compressor - Despatch,1017-160-999
113,Elec System -  Bulk Storage,1017-160-999
114,Outbuilding Bulk Store - Structure,1017-160-999
115,Workshop and Misc building structures,1017-160-999
116,Bulkstore - Structure,1017-160-999
117,Building - External Cladding - Bag,1017-160-999
118,Building - External Cladding - Bulk,1017-160-999
119,Building - External Cladding - Office,1017-160-999
120,Building - External Cladding - Outbuilding Bulkstore,1017-160-999
121,Roller Door #1 - Bag Store,1017-160-999
122,Roller Door #2 - Bag Store,1017-160-999
123,Roller Door #3 - Bag Store,1017-160-999
124,Roller Door #4 - Bag Store,1017-160-999
125,Roller Door #1 - Bulk Store Exit,1017-160-999
126,Roller Door #1 - Despatch Entry,1017-160-999
127,Roller Door #2 - Despatch Exit,1017-160-999
128,Building - Bag Store,1017-160-999
201,Mount,0000
301,Maru Street,0000
401,Huntly,0000
501,Rotorua,0000
601,Morrinsville,0000
701,Otorohanga,0000
801,Pukekohe,0000
901,Te Awamutu,0000
1010,Irirangi,0000
1011,Edgecumbe,0000
1012,Gisborne,0000
1013,Hastings,0000
1014,Reporoa,0000
1015,Te Kuiti,0000
1016,Te Poi,0000
1017,Tirau,0000
1018,Whakamaru,0000
1019,Netherton,0000
1155,Te Puke,0000
1351,Kapuni,0000
1352,Bell Block,0000
1354,Pungarehu,0000
1355,Manaia Road,0000
1621,Greatford,0000
1645,Feilding,0000
1646,Shannon,0000
1710,Waipukurau,0000
1715,Waingawa,0000
2200,Whangarei Hub,0000
2201,Whangarei,0000
2202,Kaikohe,0000
2203,Waipapa,0000
2204,Wellsford,0000
2206,Whangarei,0000
2208,Dargaville,0000
2209,Marsden Point,0000
4801,Awarua,0000
4815,Owhiro,0000
4828,Gore,0000
4857,Invercargill,0000
4901,Timaru Hub,0000
4905,Timaru SC,0000
4910,Ashburton,0000
4916,Rolleston,0000
4920,Anama,0000
4929,Oamaru,0000
6500,Super Air,0000
20101,Product Store #1 - Walkways & Platforms,0201-110-020
20102,Product Store #1 - Cladding System,0201-110-020
20103,Product Store #1 - Bracing Systems,0201-110-020
20104,Product Store #1 - Foundations,0201-110-020
20105,Product Store #2 - Walkways and Platforms,0201-110-020
20106,Product Store #2 - Cladding System,0201-110-020
20107,Product Store #2 - Foundations,0201-110-020
20108,Product Store #2 - Bracing System,0201-110-020
20111,Acidulation - Walkways & Platforms,0201-100-430
20112,Acidulation - Cladding System,0201-100-430
20113,Acidulation - Bracing Systems,0201-100-430
20114,Acidulation - Foundations,0201-100-430
20116,Acidulation - Electrical Services,0201-100-430
20117,Build-#1 Rock Store - Walkways & Platforms,0201-090-020
20118,Build-#1 Rock Store - Cladding System,0201-090-020
20119,Build-#1 Rock Store - Bracing Systems,0201-090-020
20120,Build-#1 Rock Store - Foundations,0201-090-020
20122,Build-#1 Rock Store - Electrical Services,0201-090-020
20123,Build-#2 Rock Store - Walkways & Platforms,0201-090-020
20124,Build-#2 Rock Store - Cladding System,0201-090-020
20125,Build-#2 Rock Store - Bracing Systems,0201-090-020
20126,Build-#2 Rock Store - Foundations,0201-090-020
20128,Build-#2 Rock Store - Electrical Services,0201-090-020
20129,Build- Sulpur Store - Walkways & Platforms,0201-080-020
20130,Build- Sulpur Store - Cladding System,0201-080-020
20131,Build- Sulpur Store - Bracing Systems,0201-080-020
20132,Build- Sulpur Store - Foundations,0201-080-020
20134,Build- Sulpur Store - Electrical Services,0201-080-020
20135,Acid Plant Other - Walkways & Platforms,0201-080-180
20136,Acid System - Walkways & Platforms,0201-080-170
20137,Steam System - Walkways & Platforms,0201-080-155
20138,Sulphur Melting - Walkways & Platforms,0201-080-120
20139,Sulphur Gas System - Walkways & Platforms,0201-080-160
20140,Boiler System - Walkways & Platforms,0201-080-150
20141,Sulphur - high Spec - Walkways & Platforms,0201-080-140
20142,MMV1066 Hyundai HL 740-9 GGE301,0201-110-440
20143,MMV1030 Crown CD30S-FFT4730-1 EGA332,0201-110-440
20144,MMV1005 Crown CD-30 CGW267,0201-080-440
20145,MMV1074 Crown CD30S GMS704,0201-080-440
20146,MMV1186 VS60 Skid Steer,0201-100-430
20147,MMV1222 Wacker Neuson Skid Steer SW21,0201-100-430
40101,Drag Chain Conveyor #2 - Despatch,0401-160-111
40102,Bucket Elevator - Despatch,0401-160-111
40103,Elec System - Blender Conveyor #1,0401-160-111
40104,Elec System - Blender Conveyor #2,0401-160-111
40105,Elec System - Bucket Elevator,0401-160-111
40106,Elec System - Reciprocating Screen,0401-160-111
40107,Elec System - Lump Breaker,0401-160-111
40108,Elec System - Cross Conveyor,0401-160-111
40109,Elec System - Despatch Conveyor,0401-160-111
40110,Weighing Control Panels - Despatch,0401-160-111
40111,Guarding - Despatch,0401-160-111
40112,Bagging Hopper,0401-160-111
40113,Loadout chute,0401-160-111
40114,Sulphur Hopper,0401-160-111
40115,#2 - Hopper Weighing Equipment,0401-160-111
40116,Compressor - Air Command,0401-160-300
40117,Compressed Air Lines,0401-160-300
40118,Site - Transformer,0401-160-310
40119,Main Distribution Board,0401-160-310
40120,Truck Wash - Piping,0401-160-350
40121,Storm Water - Piping,0401-160-350
40122,Rain Gardens,0401-160-370
40123,Main Gate - Site,0401-160-370
40124,Roller Door #3 - Bulk Store,0401-160-430
40125,Roller Door #4 - Bulk Store,0401-160-430
40126,Roller Door #5 - Bulk Store,0401-160-430
40127,Building - External Cladding - Bulk,0401-160-430
40128,Building - External Cladding - Office,0401-160-430
40129,Bag store canopy,0401-160-430
40130,Dangerous Goods Shed,0401-160-430
40131,Pallet stacker,0401-160-430
40132,Sweeper (attachment for forklift),0401-160-440
40133,Emergency Exit Lighting,0401-160-450
48151,Sulphur hopper 2t,4815-160-100
48152,Drag Chain Conveyor #1 - Despatch,4815-160-111
48153,Platforms & Walkways - Despatch,4815-160-111
48154,Flail Mill - Despatch,4815-160-111
48158,Weighing Control Panels - Despatch,4815-160-111
48159,Despatch - Distribution - Control,4815-160-111
48281,1200kg Jacky bin,4828-160-100
48282,Compressor - Air Command,4828-160-300
48283,Compressed Air Lines,4828-160-300
48284,Boundry - Fencing,4828-160-370
48285,Roading,4828-160-370
48286,Roller Door #1 - Bulk Store,4828-160-430
48287,Bulk Store - Concrete Dividing Walls,4828-160-430
48288,Building - External Cladding - Bulk,4828-160-430
48289,Building - External Cladding - Office,4828-160-430
49291,Bagging Systems,4929-160-100
49292,1200kg Jacky bin,4929-160-100
49293,Drag Chain Conveyor #1 - Despatch,4929-160-111
49299,Weighing Control Panels - Despatch,4929-160-111
50101,Drag Chain Conveyor #1 - Despatch,0501-160-111
50102,Drag Chain Conveyor #2 - Despatch,0501-160-111
50103,Platforms & Walkways - Despatch,0501-160-111
50104,Bucket Elevator - Despatch,0501-160-111
50105,Lump breaker,0501-160-111
50106,Elec System - Blender Conveyor #1,0501-160-111
50107,Elec System - Blender Conveyor #2,0501-160-111
50108,Elec System - Bucket Elevator,0501-160-111
50109,Elec System - Lump Breaker,0501-160-111
50110,Elec System - Divertor,0501-160-111
50111,Elec System - Reciprocating Screen,0501-160-111
50112,Sulphur hopper,0501-160-111
50113,Guarding - Despatch,0501-160-111
50114,Diverter,0501-160-111
50115,Reciprocating Screen,0501-160-111
50116,#1 - Hopper,0501-160-111
50117,#2 - Hopper,0501-160-111
50118,#1 - Hopper Weighing Equipment,0501-160-111
50119,#2 - Hopper Weighing Equipment,0501-160-111
50120,Compressor - Despatch,0501-160-300
50121,MCC - Bulk Material Intake & Despatch,0501-160-310
50122,Site - Transformer,0501-160-310
50123,Main Distribution Board,0501-160-310
50126,Roller Door #1 Bulk Store South,0501-160-430
50127,Roller Door #2 - Despatch Entry South,0501-160-430
50128,Roller Door #3 - Despatch Exit North,0501-160-430
50129,Roller Door - Bag Store,0501-160-430
50130,Building - External Cladding - Bulk,0501-160-430
50131,Building - External Cladding - Office,0501-160-430
50132,Building - Compressor Shed,0501-160-430
50135,Building Bag Store,0501-160-430
50137,Elec System -  Main Office,0501-160-430
50138,Elec System - Bulk Store,0501-160-430
50142,Dust Cone - Despatch,0501-160-111
50146,Building - External Cladding - Bagging,0501-160-430
50147,Bulk Store - Concrete Dividing Walls,0501-160-430
70101,Double Drag Chain Conveyor #1 - Despatch,0701-160-111
70102,Drag Chain Conveyor #2 - Despatch,0701-160-111
70103,Platforms & Walkways - Despatch,0701-160-111
70104,Bucket Elevator - Despatch,0701-160-111
70105,Loadout Conveyor,0701-160-111
70106,Lump breaker/flail mill,0701-160-111
70107,Elec System - Blender Conveyor #1,0701-160-111
70108,Elec System - Blender Conveyor #2,0701-160-111
70109,Elec System - Bucket Elevator,0701-160-111
70110,Elec System - Reciprocating Screen,0701-160-111
70111,Elec System - Lump Breaker,0701-160-111
70112,Elec System - Loadout Conveyor,0701-160-111
70113,Guarding - Despatch,0701-160-111
70114,Loadout Chute,0701-160-111
70115,Bagging Chute,0701-160-111
70116,Vibrating Screen recirc chute,0701-160-111
70118,Vibrating Screen,0701-160-111
70119,Hopper #1,0701-160-111
70120,Hopper #2,0701-160-111
70121,Compressor,0701-160-300
70125,Bulk Store - Concrete Dividing Walls,0701-160-430
70130,Elec System -  Main Office,0701-160-430
70131,Elec System - Bulk Store,0701-160-430
70136,Building - External Cladding - Bulk,0701-160-430
70137,Building - External Cladding - Bagging,0701-160-430
70138,Building - External Cladding - Office,0701-160-430
70140,MCC - Bulk Material Despatch,0701-160-310
80101,Intake ramp,0801-160-010
80102,Intake canopy,0801-160-010
80103,Intake electric gates,0801-160-010
80104,Intake Pit,0801-160-010
80105,Bagging hopper 2,0801-160-100
80106,Screen 1,0801-160-100
80107,Screen 2,0801-160-100
80108,Conveyor 1,0801-160-100
80109,Conveyor 2,0801-160-100
80110,Platform scales 1 - Mettler Toledo,0801-160-100
80111,Platform scales 2 - Mettler Toledo,0801-160-100
80112,Platforms & Walkways - Despatch,0801-160-111
80113,Elec System - Blender Conveyor #1,0801-160-111
80114,Elec System - Bucket Elevator,0801-160-111
80115,Elec System - Lump Breaker,0801-160-111
80116,Elec System - Loadout Conveyor,0801-160-111
80117,Elec System - Cross Conveyor,0801-160-111
80118,Elec System - Incline Conveyor,0801-160-111
80119,Weighing Control Panels - Despatch,0801-160-111
80120,Despatch - Distribution - Control,0801-160-111
80121,Guarding - Despatch,0801-160-111
80122,Diverter / Recirc chute - Despatch,0801-160-111
80123,Loadout chute,0801-160-111
80124,#1 - Hopper Weighing Equipment,0801-160-111
80125,Compressors - AshAir,0801-160-300
80126,Compressed Air Lines,0801-160-300
80127,Site - Transformer,0801-160-310
80128,Main Distribution Board,0801-160-310
80129,Stormwater settling pond,0801-160-350
80130,Main Gate - Site,0801-160-370
80131,Elec System -  Bulk Storage,0801-160-430
80132,Bulk Store - Concrete Dividing Walls,0801-160-430
80133,Building - External Cladding - Bulk,0801-160-430
80134,Building - External Cladding - Office,0801-160-430
80135,Building Bag Store,0801-160-430
80136,Weighbridge hut,0801-160-430
80137,Elec System -  Main Office,0801-160-430
80138,Elec System - Bulk Store,0801-160-430
80139,Elec System - Bag Store,0801-160-430
80140,MMV963 Volvo loader - L70C,0801-160-440
80141,Emergency Exit Lighting,0801-160-450
80142,Suspension plant pipework,0801-170-470
80143,Suspension plant flowmeter and controls,0801-170-470
80144,Suspension plant electrical system,0801-170-470
